,meter_id,interval_date_time,energy_wh
0,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T09:15:00.000Z,312.4
1,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-04T11:45:00.000Z,208.2
2,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-04T15:15:00.000Z,113.5
3,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-04T00:15:00.000Z,159.1
4,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-03T03:00:00.000Z,118.6
5,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T13:45:00.000Z,578.1
6,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T09:45:00.000Z,317.2
7,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T03:30:00.000Z,151.5
8,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T22:45:00.000Z,501.3
9,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T22:00:00.000Z,668.6
10,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T00:30:00.000Z,140.7
11,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-02T04:15:00.000Z,98.6
12,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-04T17:15:00.000Z,357.7
13,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-03T07:45:00.000Z,208.0
14,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T19:30:00.000Z,104.6
15,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T13:00:00.000Z,1234.7
16,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T11:45:00.000Z,104.3
17,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T22:45:00.000Z,237.9
18,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T03:15:00.000Z,135.8
19,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-02T13:00:00.000Z,293.7
20,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-05T13:00:00.000Z,138.4
21,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T05:15:00.000Z,100.1
22,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T11:00:00.000Z,88.3
23,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T21:30:00.000Z,334.5
24,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-05T15:45:00.000Z,190.6
25,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T16:15:00.000Z,131.2
26,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-03T03:45:00.000Z,118.1
27,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T11:00:00.000Z,1330.7
28,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-02T08:45:00.000Z,205.4
29,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T08:00:00.000Z,240.0
30,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T18:00:00.000Z,450.0
31,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T09:30:00.000Z,229.9
32,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-02T16:45:00.000Z,360.2
33,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T12:15:00.000Z,200.5
