,meter_id,interval_date_time,energy_wh
0,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T15:00:00.000Z,199.3
1,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-04T02:15:00.000Z,104.9
2,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-05T04:45:00.000Z,94.3
3,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-02T18:15:00.000Z,393.7
4,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-04T06:30:00.000Z,137.7
5,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T15:00:00.000Z,114.1
6,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-04T06:15:00.000Z,479.3
7,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-05T09:15:00.000Z,168.8
8,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T19:15:00.000Z,239.6
9,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T13:30:00.000Z,633.2
10,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-03T14:45:00.000Z,500.2
11,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T08:15:00.000Z,544.6
12,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T21:00:00.000Z,250.0
13,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T01:45:00.000Z,124.7
14,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-02T09:30:00.000Z,308.6
15,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T02:15:00.000Z,159.0
16,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T18:00:00.000Z,471.8
17,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-06T14:00:00.000Z,1019.1
18,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T04:00:00.000Z,95.9
19,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-05T11:00:00.000Z,309.0
20,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T17:00:00.000Z,563.2
21,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-03T18:00:00.000Z,796.4
22,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T02:30:00.000Z,102.3
23,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-03T02:15:00.000Z,109.7
24,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-02T01:45:00.000Z,82.6
25,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T09:30:00.000Z,114.1
26,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T02:30:00.000Z,139.3
27,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-02T00:15:00.000Z,90.1
28,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T06:15:00.000Z,453.7
29,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-05T09:00:00.000Z,269.7
30,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-01T14:30:00.000Z,117.9
31,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-03T08:30:00.000Z,865.1
32,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T21:30:00.000Z,1507.6
33,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-04T17:00:00.000Z,102.7
34,475bd821-23e6-4634-83c3-d85aa0c548c9,2020-06-07T20:45:00.000Z,242.3
